我喜欢生命本来的样子(周国平经典散文作品集),http://product.dangdang.com/24198400.html,周国平,2017/2/1,作家出版社,?20.00
活着（2017年新版）,http://product.dangdang.com/25137790.html,余华,2012/8/1,作家出版社,?15.30
神奇校车·图画书版（全12册，新增《科学博览会》1册）,http://product.dangdang.com/25252408.html,乔安娜柯尔,2018/5/10,贵州人民出版社,?99.00
我的第一本地理启蒙书,http://product.dangdang.com/23967348.html,郑利强,2016/6/1,新世界出版社,?24.90
小熊和最好的爸爸（全7册）,http://product.dangdang.com/20039611.html,丹姆,2007/11/1,贵州人民出版社,?17.50
神奇校车·桥梁书版（全20册）,http://product.dangdang.com/23444350.html,乔安娜柯尔,2014/4/1,贵州人民出版社,?75.00
月亮与六便士（新版！未删节插图珍藏版，荣获波比小说奖诗人译本...,http://product.dangdang.com/24175371.html,毛姆,2017/1/10,浙江文艺出版社,?19.90
浮生六记 （汪涵推荐，畅销200万册。沈复给芸娘的绝美情书）【果...,http://product.dangdang.com/23751637.html,沈复,2015/8/1,天津人民出版社,?16.00
红星照耀中国（青少版）人民文学出版社,http://product.dangdang.com/25100818.html,埃德加·斯诺,2017/6/1,人民文学出版社,?20.50
你坏（大冰2018作品！预售10分钟8.6万册+，30分钟突破11.8万册，...,http://product.dangdang.com/25288851.html,大冰,2018/6/11,湖南文艺出版社,?22.30
追风筝的人（2018年新版）,http://product.dangdang.com/25238195.html,卡勒德·胡赛尼,2006/5/1,上海人民出版社,?19.70
少年读史记（套装全5册）,http://product.dangdang.com/23778791.html,张嘉骅,2015/9/1,青岛出版社,?50.00
《正面管教》修订版,http://product.dangdang.com/23990140.html,简·尼尔森,2016/7/1,北京联合出版公司,?22.40
摆渡人（如果命运是一条孤独的河流，谁会是你灵魂的摆渡人？）,http://product.dangdang.com/23694647.html,克莱儿·麦克福尔,2015/6/1,百花洲文艺出版社,?18.00
古汉语常用字字典（第5版）,http://product.dangdang.com/24008779.html,王力,2016/4/1,商务印书馆,?31.90
我们仨（新版）,http://product.dangdang.com/25284154.html,杨绛,2018/6/1,生活.读书.新知三联书店,?20.10
在教室说错了没关系,http://product.dangdang.com/24194575.html,莳田晋至,2017/2/1,青岛出版社,?18.00
云边有个小卖部,http://product.dangdang.com/25295369.html,张嘉佳,2018/7/1,湖南文艺出版社,?22.00
写给儿童的中国历史（全14册）,http://product.dangdang.com/23427436.html,陈卫平,2014/4/1,新世界出版社,?177.50
东野圭吾：解忧杂货店（王俊凯、迪丽热巴主演，这家店帮你找回内...,http://product.dangdang.com/23464478.html,东野圭吾,2014/5/1,南海出版公司,?27.30
所谓情商高，就是会说话,http://product.dangdang.com/24026269.html,佐佐木圭一,2016/9/1,北京联合出版公司,?16.00
培生幼儿英语：预备级（升级版）,http://product.dangdang.com/25171016.html,培生集团,2017/11/1,湖北少儿出版社,?59.00
那不勒斯的萤火（被誉为欧美文坛近十年来的“灯塔”巨作，跟《追...,http://product.dangdang.com/25268159.html,马西米利亚诺,2018/5/1,百花洲文艺出版社,?21.00
小王子（畅销300万册，作者基金会官方认证简体中文版）【果麦经典...,http://product.dangdang.com/23055003.html,安托万·德·圣埃克苏佩里,2013/1/1,天津人民出版社,?16.00
天才在左 疯子在右(2018全新完整版),http://product.dangdang.com/25285092.html,高铭,2018/5/1,北京联合出版有限公司,?28.80
西游记原著版（上、下册）七年级上册必读（1-9年级必读书单）,http://product.dangdang.com/104336.html,吴承恩,2005/11/1,人民文学出版社,?26.00
