AC#,Artist,Title,Date,Medium,Dimensions,Category,,,,,
101137,"ABBOTT, Scott",Northern Lake,2006,oil on canvas,"91.4 x 121.9 cm / 36"" x 48""",painting,,,,,
632639,"ACHTEMICHUK, Robert",Temptation of Pope John Paul  10/20,1979,etching,"sight: 52.1 x 69.9 cm / 20 1/2"" x 27 1/2""; frame: 71.1 x 87.6 cm / 28"" x 34 1/2""",work on paper,,,,,
619996,"ACLAND, Laurence",Structure Votive  2/40,1977,etching,"sight: 80 x 39.4 cm / 31 1/2"" x 15 1/2""; image: 70.5 x 34.9 cm / 27 3/4"" x 13 1/4""",work on paper,,,,,
101139,"ADAMO, Pietro",Ballet Suite IV,2012,mixed media,"50.8 x 40.6 cm / 20"" x 16""; frame: 55.8 x 44.5 x 5.7 cm / 21 3/4"" x 17 1/2"" x 2 1/4""",mixed media,,,,,
101140,"ADAMO, Pietro",Untitled,2012,mixed media,"60.9 x 91.4 cm / 24"" x 36""",mixed media,,,,,
633138,"ADAMS, Ellen",Untitled [maquette],1983,watercolour on paper,"62.9 x 54 cm / 24 3/4"" x 21 1/4""",work on paper,,,,,
101138,"ADAMS, John",Around the Bend,2012,acrylic on canvas,"91.4 x 121.9 cm / 36"" x 48""",painting,,,,,
635723,"AGGEO,",Owl and Lemming  46/50,1966,lithograph,"83.8 x 61 cm / 33"" x 24""; frame: 94 x 73.5 cm / 37"" x 29""",work on paper,,,,,
101050,"AHMED, Iftikhar Uddin",Searching for Space,2012,mixed media,"101.5 x 101.5 cm / 40"" x 40""",mixed media,,,,,
619806,"AHRENS, Carl",Ripe Corn Time,c. 1895,oil on canvas,"sight: 64.8 x 80 cm / 26 1/4"" x 32 1/4""; frame: 87.6 x 102.2 cm / 34 1/2"" x 40 1/4""",painting,,,,,
619743,"AIKEN, Marie",Solstice,1977,textile,"a) 411.5 x 182.9 cm / 162"" x 72""; b) 457.2 x 182.9 cm / 180"" x 72""",textile,,,,,
619747,"AIKEN, Marie",Solstice [maquette],c. 1977,watercolour on paper,"46.4 x 11.4 cm / 18 1/4"" x 2 1/2""",work on paper,,,,,
661771,"AINSLEY,",Untitled [Legislative Chamber],n.d.,ink drawing,"47.3 x 60 cm / 18.6"" x 23.6""",work on paper,,,,,
100465,"AITKEN, Thomas & HYDE, Kate",Material Memories,2008,ceramics,"frame: 71.7 x 71.7 x 3.9 cm / 28 1/4"" x 28 1/4"" x 1 1/2""",ceramic,,,,,
101051,"AL-HINDAWI, Sumer",Toronto's Day and Night,2012,mixed media,"91.4 x 122 cm / 36"" x 48""",mixed media,,,,,
101052,"ALISAUSKAS, Ona",Rocky Shore 1,2008,watercolour on paper,"38.1 x 55.8 cm / 15"" x 22""",work on paper,,,,,
100448-01,"ALISON, Adrianne","Veteran's Memorial Competition Finalist ""The Living Wreath"" 3D Model [maquette, part 1 of 4]",2005,mixed media,"92 x 92 x 23 cm / 36 1/4"" x 36 1/4"" x 9""",mixed media,,,,,
642654,"ALLARDYCE, Anne",Eumenides,1985,metal,"503 x 183 x 335 cm / 198"" x 72"" x 132""",sculpture,,,,,
633751,"ALLARDYCE, Anne",Eumenides [maquette],c. 1983,mixed media,"44.4 x 26 x 21 cm / 17 1/2"" x 10 1/4"" x 8 1/4""",mixed media,,,,,
619782,"ALLEN, Ralph",Untitled,c. 1966-1968,mixed media,"266.7 x 299.7 cm / 105"" x 118""",mixed media,,,,,
622685,"ALLEN, Trevor",Pied Piper of Hamlin  12/26,n.d.,etching,"47.3 x 62.2 cm / 18 5/8"" x 24 1/2""",work on paper,,,,,
634312,"ALLISON, Gloria",Untitled,n.d.,acrylic on cardboard,"50.8 x 76.8 cm / 20"" x 30 1/4""",painting,,,,,
634313,"ALLISON, Gloria",Untitled,n.d.,acrylic on cardboard,"49.5 x 76.2 cm / 19 1/2"" x 30""",painting,,,,,
619876,"ALLWARD, Walter Seymour","Colonel John Graves Simcoe [Lieutenant Governor of Upper Canada, 1791-1796]",1902,bronze,"statue: 290.8 x 149.9 x 86.4 cm / 114 1/2"" x 59"" x 34""; base: 288.3 x 200.7 x 200.7 cm / 113 1/2"" x 79"" x 79""",monument,,,,,
619879,"ALLWARD, Walter Seymour","Hon. John Sandfield Macdonald, QC [Premier of Ontario, 1867-71]",1909,bronze,"statue: 274.3 x 101.6 x 76.2 cm / 108"" x 40"" x 30""; base: 228.6 x 231.1 x 231.1 cm / 90"" x 91"" x 91""",monument,,,,,
619726,"ALLWARD, Walter Seymour","Hon. Sir George William Ross, Kt, LL D, FRSC [Premier of Ontario, 1899-1905]",c. 1901,plaster,"59.7 x 45.7 x 21.6 cm / 23 1/2"" x 18"" x 8 1/2""",bust,,,,,
619725,"ALLWARD, Walter Seymour","Hon. Sir Oliver Mowat,  GCMG, KC, LL D [Premier, Lieutenant Governor of Ontario; 1872-1903]",c. 1900,plaster,"62.9 x 36.2 x 30.5 cm / 24 3/4"" x 14 1/4"" x 12""",bust,,,,,
619891,"ALLWARD, Walter Seymour","Hon. Sir Oliver Mowat, GCMG, KC, LL D [Premier, Lieutenant Governor of Ontario; 1872-1903]",c. 1903-1905,bronze,"statue: 281.9 x 114.3 x 86.4 cm / 111"" x 45"" x 34""; base: 340.4 x 444.5 x 444.5 cm / 134"" x 175"" x 175""",monument,,,,,
632702,"ALLWARD, Walter Seymour",North-West Rebellion Monument (1885),1895,bronze,"statue: 221 x 67.3 x 91.4 cm / 87"" x 25 1/2"" x 36""; base: 391.2 x 311.2 x 311.2 cm / 154"" x 122 1/2"" x 122 1/2""",monument,,,,,
619724,"ALLWARD, Walter Seymour","Sir Wilfrid Laurier, PC, GCMG, LL D [Prime Minister of Canada, 1896-1911]",c. 1900,plaster,"80.6 x 63.5 x 43.2 cm / 31 3/4"" x 25"" x 17""",bust,,,,,
619873,"ALLWARD, Walter Seymour","William Lyon Mackenzie Memorial [MLA UC/Canada West; first Mayor of Toronto, 1828-35]",1940,bronze,"a) 119.4 x 66 x 50.8 cm / 47"" x 26"" x 20"" b) 152.4 x 914.4 x 82.6 cm / 60"" x 360"" x 32 1/2""",monument,,,,,
619938,"ALTWERGER, Sandra Rochelle",Mother of Thousands  6/16,n.d.,serigraph,"sight: 64.8 x 48.3 cm / 25 1/2"" x 19""; image: 38.1 x 38.1 cm / 15"" x 15""",work on paper,,,,,
640580,"AMAR, Georgia","Colbourne, Ontario  5/24",n.d.,serigraph,"sight: 83 x 107 cm / 32 5/8"" x 42 1/8; image: 63 x 89 cm / 24 13/16"" x 35""",work on paper,,,,,
640581,"AMAR, Georgia",Inside the Horizon  1/30,n.d.,serigraph,"image: 63 x 89 cm / 24 13/16"" x 35""; sight: 83 x 107 cm / 32 11/16"" x 42 1/8""",work on paper,,,,,
101141,"AMBROSE, Ed",Wetland,2014,mixed media,"91.4 x 91.4 cm / 36"" x 36""",mixed media,,,,,
100410,"AMIRAULT, Robert",The Red Cabin,2005,oil on canvas,"60.9 x 91.4 cm / 24"" x 36""; frame: 79.4 x 109.9 cm / 31 1/4"" x 43 1/4""",painting,,,,,
658474,"ANDERSON, Janet",Eyes Without a Face,n.d.,photograph,"sight: 68.6 x 124.5 cm / 27"" x 49""; frame: 105 x 156 cm / 41 3/8"" x 61 3/8""",photograph,,,,,
619752,"ANDERSON, Margot",View of Simcoe County Courthouse in Barrie,n.d.,pen and ink on paper,"40.6 x 50.2 cm / 16"" x 19 3/4""",work on paper,,,,,
658479,"ANGECONEB, Ahmoo",Mosquitoe People by Night  3/10,1986,etching,"43.2 x 63.5 cm / 17"" x 25""; frame: 63.5 x 82 cm / 25"" x 32 1/4""",work on paper,,,,,
100044,"ANGEL, George/John","Silver Tea and Coffee Service [Victorian], 19th c.",n.d.,silver,"coffee server: 29.6 cm / 11 5/8""; tea server: 24.5 cm / 9 5/8""; hot water jug: 19.4 cm / 7 5/8""; milk jug: 16.9 cm / 6 9/16""",furnishings,,,,,
661756,"ANTHONY, Mark",Monarch Oak,n.d.,oil on canvas,"91.5 x 106.7 cm / 36"" x 42""",painting,,,,,
